Individual ID,Cylindrical_type,Umbrella_type,Open_type,Compact_type,Erectibility
IITA-TMS-IBA970103,0,0,1,0,0
IITA-TMS-IBA970290,0,1,0,0,1
IITA-TMS-IBA974580,0,0,0,1,0
IITA-TMS-IBA974045,0,0,1,0,0
IITA-TMS-IBA970353,0,0,1,0,0
IITA-TMS-IBA974779,0,1,0,0,1
IITA-TMS-IBA971228,0,0,1,0,0
IITA-TMS-IBA970299,0,0,1,0,0
IITA-TMS-IBA970296,0,1,0,0,1
IITA-TMS-MM970646,1,0,0,0,1
IITA-TMS-MM970806,0,1,0,0,1
IITA-TMS-MM971750,0,0,1,0,0
IITA-TMS-MM972220,0,0,1,0,0
IITA-TMS-MM971141,0,1,0,0,1
IITA-TMS-MM971405,0,0,1,0,0
IITA-TMS-MM97JW2,0,1,0,0,1
IITA-TMS-MM970092,0,0,1,0,0
IITA-TMS-MM972480,0,0,1,0,0
IITA-TMS-MM974580,0,1,0,0,1
IITA-TMS-MM970287,1,0,0,0,1
IITA-TMS-MM971660,0,0,1,0,0
IITA-TMS-MM971899,0,0,1,0,0
IITA-TMS-ZAR970002,0,0,1,0,0
IITA-TMS-IBA960596,0,0,0,1,0
IITA-TMS-IBA960062,0,1,0,0,1
IITA-TMS-IBA960619,0,0,1,0,0
IITA-TMS-IBA961613,0,0,1,0,0
IITA-TMS-IBA961556,0,0,1,0,0
IITA-TMS-IBA960409,0,1,0,0,1
IITA-TMS-IBA960304,0,1,0,0,1
IITA-TMS-IBA960986,0,1,0,0,1
IITA-TMS-IBA960963,0,0,0,1,0
IITA-TMS-IBA961439,0,0,0,1,0
IITA-TMS-IBA961087,0,1,0,0,1
IITA-TMS-IBA961427,0,1,0,0,1
IITA-TMS-IBA960557,0,1,0,0,1
IITA-TMS-IBA961632,0,1,0,0,1
IITA-TMS-IBA960565,0,0,1,0,0
IITA-TMS-IBA960869,0,0,1,0,0
IITA-TMS-IBA960129,0,0,1,0,0
IITA-TMS-IBA960590,0,1,0,0,1
IITA-TMS-IBA961569,0,0,1,0,0
IITA-TMS-IBA961165,0,0,1,0,0
IITA-TMS-IBA961642,0,1,0,0,1
IITA-TMS-IBA961039,1,0,0,0,1
IITA-TMS-IBA961431,0,0,1,0,0
IITA-TMS-IBA960860,0,1,0,0,1
IITA-TMS-IBA961551,0,1,0,0,1
IITA-TMS-IBA960532,0,1,0,0,1
IITA-TMS-IBA960035,0,0,1,0,0
IITA-TMS-IBA960325,0,1,0,0,1
IITA-TMS-MM965280,0,1,0,0,1
IITA-TMS-MM960287,0,1,0,0,1
IITA-TMS-MM964496,0,0,1,0,0
IITA-TMS-MM966583,0,0,1,0,0
IITA-TMS-MM960259,0,0,1,0,0
IITA-TMS-MM963665,0,1,0,0,1
IITA-TMS-MM964019,0,1,0,0,1
IITA-TMS-ZAR960058,0,1,0,0,1
IITA-TMS-MM961669,0,1,0,0,1
IITA-TMS-MM968876,0,1,0,0,1
IITA-TMS-IBA950104,0,0,0,1,0
IITA-TMS-IBA950986,0,0,1,0,0
IITA-TMS-IBA950041,0,0,0,1,0
IITA-TMS-IBA950947,0,0,1,0,0
IITA-TMS-IBA950961,0,1,0,0,1
IITA-TMS-IBA950061,0,1,0,0,1
IITA-TMS-IBA950286,0,0,0,1,0
IITA-TMS-IBA950379,0,0,0,1,0
IITA-TMS-IKN950562,0,0,1,0,0
IITA-TMS-IKN950725,0,1,0,0,1
IITA-TMS-ZAR950415,0,0,1,0,0
IITA-TMS-ZAR950432,0,1,0,0,1
IITA-TMS-ZAR950286,0,0,1,0,0
IITA-TMS-IBA940066,0,0,0,1,0
IITA-TMS-IBA940270,0,1,0,0,1
IITA-TMS-IBA940039,0,1,0,0,1
IITA-TMS-IBA940018,0,0,1,0,0
IITA-TMS-IBA940237,0,0,1,0,0
IITA-TMS-IBA940263,0,1,0,0,1
IITA-TMS-IBA940330,0,0,1,0,0
IITA-TMS-IBA940026,0,0,1,0,0
IITA-TMS-IBA940020,0,0,1,0,0
IITA-TMS-IBA940239,0,0,1,0,0
IITA-TMS-IBA940459,0,0,1,0,0
IITA-TMS-MOK940583,0,1,0,0,1
IITA-TMS-WAR940009,0,0,1,0,0
IITA-TMS-WAR940017,0,0,1,0,0
IITA-TMS-WAR940727,0,0,0,1,0
IITA-TMS-ZAR940153,0,1,0,0,1
IITA-TMS-IBA930007,0,0,1,0,0
IITA-TMS-IBA930114,0,0,1,0,0
IITA-TMS-IBA930272,0,0,0,1,0
IITA-TMS-IBA930134,0,0,1,0,0
IITA-TMS-IBA930070,0,0,0,1,0
IITA-TMS-IBA930084,0,0,1,0,0
IITA-TMS-IBA930266,0,0,1,0,0
IITA-TMS-IBA930267,0,0,1,0,0
