Trials,VarG,VarE,Mean,H2,CV,PEV,Ac
NPT_5CP_CHAMBEZI_TANZANIA,1.23026307519096,0.0385653289012022,1.03509230648359,0.981538889909635,0.189722762277364,0.0251211187037988,0.989737689281692
18ayt5VForestKYK,0,0.00699999999999999,2.85,0,0.0293564921590903,0,NA
18AYT6HYLD2KYK,0,0.0146666666666666,2.83333333333333,0,0.0427432991166704,0,NA
18cet36yrtPDIB,0,2.56666666666667,1.83333333333333,0,0.873862897505303,0,NA
19UYT4HYLD2KYK,0,0.102666666666667,2.43333333333333,0,0.131677970856963,0,NA
17pyt75highylddmIK,0.111111111111111,2.88033645591e-16,1.33333333333333,0.999999999999999,1.27286655091937e-08,1.6801962659475e-16,0.999999999999999
17pyt40highDMIK,0,0,1,NA,0,0,NA
15pyt30pdIB,0.0286458332694529,0.152777777816591,1.17187500004366,0.319148935630445,0.333540676284051,0.0197172618757344,0.558290525771929
17ayt28highDMIB,0,0,1,NA,0,0,NA
18ayt14wrthighDMIB,0,0,1,NA,0,0,NA
NPT_5CP_UKIRIGURU_TANZANIA,0.984829782049704,0.0118079899956968,1.06687931409055,0.992857455502215,0.101852734596633,0.00844370420253219,0.995703886622632
17clonalevalpdIB,0,0.931818181818182,1.75,0,0.551604170950527,0,NA
18pyt48highDMIB,0,0,1,NA,0,0,NA
19UYT4HYLDKYK,0.0218518533151239,0.0199999996461939,1.38333333333333,0.766233781396883,0.102232304809458,0.0051082251189465,0.875347805958799
21.CET.171.CIAT.IB,0,0.818181818181818,1.5,0,0.603022689155527,0,NA
19AYT8HYLD2KYK,0,0.151043956043956,2.37857142857143,0,0.163393764241533,0,NA
18ayt10highDMIK,0,0,1,NA,0,0,NA
18UYT4HYLDKYK,0,0.163958333333333,2.15625,0,0.187787912861934,0,NA
18uyt4USavannahKYK,0,0.150958333333333,2.18125,0,0.178124271786075,0,NA
15ayt14highDMIB,2.81751672488451,0.0625575538436635,2.02918106155886,0.996097101425256,0.123259124549397,0.0255982854010251,0.995446931420585
15TP2set3kano,0.276000632132718,1.84372539432433,3.3279469447175,0.145048425270186,0.408010861765968,0.236376196042622,0.378901660873161
