repeats,id,predOf,Trait,Accuracy,Model
3,Fold2,GETGV,Compact_type,0.12175352050252232,Additive_Dom
3,Fold3,GEBV,BranchlevelNum,0.4144962617307497,Additive_Dom
3,Fold3,GETGV,BranchlevelNum,0.4105664155922464,Additive_Dom
3,Fold3,GEBV,FirstBranchHeight,0.21698591037003656,Additive_Dom
3,Fold3,GETGV,FirstBranchHeight,0.21436689937244385,Additive_Dom
3,Fold3,GEBV,PlantHeight,0.2945638589365924,Additive_Dom
3,Fold3,GETGV,PlantHeight,0.2901196079380311,Additive_Dom
3,Fold3,GEBV,Cylindrical_type,0.3310625017827156,Additive_Dom
3,Fold3,GETGV,Cylindrical_type,0.18511319968810563,Additive_Dom
3,Fold3,GEBV,Umbrella_type,-0.05851899426632948,Additive_Dom
3,Fold3,GETGV,Umbrella_type,-0.04894280408139968,Additive_Dom
3,Fold3,GEBV,Open_type,0.27280212512329366,Additive_Dom
3,Fold3,GETGV,Open_type,0.3049655960045111,Additive_Dom
3,Fold3,GEBV,Compact_type,-0.024634087972156233,Additive_Dom
3,Fold3,GETGV,Compact_type,0.036218713402361366,Additive_Dom
3,Fold4,GEBV,BranchlevelNum,0.4585066586544407,Additive_Dom
3,Fold4,GETGV,BranchlevelNum,0.4539145121837548,Additive_Dom
3,Fold4,GEBV,FirstBranchHeight,0.29203364585310143,Additive_Dom
3,Fold4,GETGV,FirstBranchHeight,0.29203364585310143,Additive_Dom
3,Fold4,GEBV,PlantHeight,0.23874177979816819,Additive_Dom
3,Fold4,GETGV,PlantHeight,0.2343457422889825,Additive_Dom
3,Fold4,GEBV,Cylindrical_type,0.24122427934588367,Additive_Dom
3,Fold4,GETGV,Cylindrical_type,0.17024356283145656,Additive_Dom
3,Fold4,GEBV,Umbrella_type,0.025817430564815766,Additive_Dom
3,Fold4,GETGV,Umbrella_type,0.022690814916098916,Additive_Dom
3,Fold4,GEBV,Open_type,0.2360033578844211,Additive_Dom
3,Fold4,GETGV,Open_type,0.24564528597421806,Additive_Dom
